college_name,college_code,year_established,fee_category_a,fee_management_quota,fee_nri_quota,city,type,lat,lng,nirf_rank,nirf_score,beds,google_rating,google_review_count,data_notes
Government Medical College Khammam,GKHM,2023,10000,,,Khammam,government,17.25,80.15,,,500,4.7,30,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Kamareddy,GKMR,2023,10800,,,Kamareddy,government,18.32,78.34,,,330,4.7,87,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Karimnagar,GKRM,2023,10000,,,Karimnagar,government,18.44,79.13,,,350,4.9,40,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Mancherial,GMCL,2022,10000,,,Mancherial,government,18.87,79.46,,,330,4.4,53,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Nirmal,GNRM,2023,10000,,,Nirmal,government,19.10,78.35,,,330,4.2,32,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Nizam's Institute of Medical Sciences,,,40000,,,Hyderabad,government,17.42,78.45,,,1600,3.6,1600,"Not primarily an MBBS provider (PG/super-specialty focused) — NIRF ranks it only for Nursing (#18) and Physiotherapy (#40) in 2023, no Medical-category MBBS rank. Confirm it even offers the MBBS seats you'd counsel for before including it as a real option. | Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Jogulamba,GGWL,2024,23000,,,Jogulamba,government,16.23,77.80,,,330,4.5,25,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Mulugu,GMUL,2024,23000,,,Mulugu,government,18.19,80.00,,,330,4.7,24,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Maheswaram,GMHR,2024,23000,,,Maheswaram,government,17.15,78.47,,,330,3.7,10,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Narsampet,GNRS,2024,10000,,,Narsampet,government,17.93,79.90,,,330,4.2,46,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Qutbullapur,GQTB,2024,10000,,,Qutbullapur,government,17.52,78.47,,,330,4.7,35,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Yadadri,GYDT,2024,10000,,,Yadadri,government,17.52,78.88,,,330,4.4,19,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Narayanpet,GNRN,2024,10000,,,Narayanpet,government,16.74,77.50,,,330,4.3,36,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Government Medical College Kodangal,GKDL,2025,,,,Kodangal,government,17.00,77.67,,,330,5.0,4,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source."
Government Dental College and Hospital,,,,,,Hyderabad,government,17.38,78.48,,,100,3.9,292,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source."
Shadan Institute of Medical Sciences,SHDN,2016,60000,1200000,2400000,Peerancheru,private,17.38,78.30,,,750,4.0,384,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Bhaskar Medical College,BASK,2005,60000,1155000,2310000,Yenkapally,private,17.40,78.22,,,879,4.1,568,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Chalmeda Anand Rao Institute Of Medical Sciences,CARK,2003,60000,1300000,2600000,Karimnagar,private,18.44,79.13,,,975,3.9,1219,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Mediciti Institute Of Medical Sciences,MEDI,2002,60000,1200000,2400000,Ghanpur,private,17.45,78.68,,,750,4.2,827,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Prathima Institute Of Medical Sciences,PRTM,2001,60000,1155000,2310000,Karimnagar,private,18.44,79.13,,,1020,3.9,1301,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
MNR Medical College and Hospital,MNRS,2000,60000,1300000,2600000,Sangareddy,private,17.63,78.08,,,760,3.9,1199,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
S V S Medical College,SVSM,1999,60000,1250000,2500000,Mahbubnagar,private,16.75,77.99,,,750,4.1,1509,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Deccan College of Medical Sciences,DCMS,1985,60000,1250000,2500000,Hyderabad,private,17.37,78.46,,,750,4.3,500,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Kamineni Institute of Medical Sciences,KMNI,1999,60000,1300000,2600000,Narketpally,private,17.05,79.17,,,930,3.8,473,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Mamata Medical College,MMTA,1992,60000,1200000,2400000,Khammam,private,17.25,80.15,,,750,4.0,473,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Mahavir Institute of Medical Sciences,MHVR,2016,60000,1155000,2310000,Vikarabad,private,17.34,77.90,,,650,4.0,405,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
R.V.M. Institute of Medical Sciences and Research Centre,RVMC,2016,60000,1200000,2400000,Medak,private,18.05,78.27,,,750,4.4,1696,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Mallareddy Medical College for Women's,,,,,,Hyderabad,deemed,17.60,78.48,,,650,4.2,364,"One of only 2 NMC-recognised deemed medical universities in Telangana | Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source."
Maheshwara Medical College,MAHE,2016,60000,1155000,2310000,Medak,private,18.05,78.27,,,650,4.1,324,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Kamineni Academy of Medical Sciences and Research Center,KMHD,2012,60000,1300000,2600000,Hyderabad,private,17.35,78.55,,,750,3.5,113,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Dr VRK Women's Medical College,VRKW,2010,60000,1200000,2400000,Aziznagar,private,17.28,78.27,,,500,4.0,150,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Apollo Institute of Medical Sciences and Research,APLO,2012,60000,1300000,2600000,Hyderabad,private,17.38,78.48,,,650,4.2,848,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Malla Reddy Institute of Medical Sciences,,,,,,Hyderabad,deemed,17.60,78.48,,,750,4.2,353,"One of only 2 NMC-recognised deemed medical universities in Telangana | Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source."
TRR Institute of Medical Sciences,TRRM,2020,60000,1155000,2310000,Patancheru,private,17.53,78.26,,,350,3.9,53,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Surabhi Institute of Medical Sciences,SURB,2019,60000,1155000,2310000,Siddipet,private,18.10,78.85,,,350,4.0,213,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Mamata Academy of Medical Sciences,MAMS,2019,60000,1155000,2310000,Bachupally,private,17.52,78.37,,,750,,,"No Google rating/review count recorded — likely too new for review history yet, per your CSV | Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Dr Patnam Mahender Reddy Institute of Medical Sciences,DPMR,2019,60000,1155000,2310000,Chevella,private,17.30,78.13,,,350,3.9,265,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Ayaan Institute of Medical Sciences,AYAN,2018,60000,1200000,2400000,Kanaka Mamidi,private,17.20,78.47,,,350,4.3,165,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
CMR Institute of Medical Sciences,CMRM,2023,60000,1155000,2310000,Kandlakoya,private,17.57,78.53,,,438,3.9,280,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Arundathi Institute of Medical Sciences,AIMD,2023,60000,1155000,2310000,Medchal,private,17.63,78.48,,,610,4.7,106,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Neelima Institute of Medical Sciences,,,60000,1155000,2310000,Medchal,private,17.63,78.48,,,350,4.4,67,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Father Colombo Institute Of Medical Sciences,FCIM,2023,60000,1155000,2310000,Warangal,private,17.97,79.59,,,350,4.2,59,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Prathima Relief Institute of Medical Sciences,PRIW,2022,,,,Warangal,private,17.97,79.59,,,350,4.4,88,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source."
Christian Medical College Hospital,,,,1200000,2400000,Nizamabad,private,18.67,78.09,,,150,4.1,20,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Nova Institute of Medical Sciences and Research,NOVA,2024,60000,1300000,2600000,Jafferguda,private,17.25,78.53,,,300,4.4,117,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
Raja Rajeshwari Institute of Medical Sciences,NEW01,2026,,2350000,4092000,Chitkul,private,17.40,78.20,,,300,5.0,2,"Bed count from a user-supplied secondary landscape report (unverified, low-confidence estimate) — kept at user's request despite no independently confirmed source. | Fees per KNRUHS-notified 2026-27 structure (via mdmsenquiry.com); annual tuition only, excludes hostel/mess. Verify against official KNRUHS counselling brochure before relying on it."
